edge_i,edge_j,chi_hat_asym,mean_lr_hat_asym,std_lr_hat_asym,mean_lf_hat_asym,std_lf_hat_asym,chi_hat_sym,mean_lr_hat_sym,std_lr_hat_sym,mean_lf_hat_sym,std_lf_hat_sym,d_chi_hat,d_mean_lr_hat,d_mean_lf_hat
25.0,24.0,0.9999999910935378,1.000000060799418,7.89183620281617e-06,1.0000000444572104,6.032479415712537e-06,0.9999999915495276,1.0000000651417598,8.452697680439816e-06,1.0000000474386954,6.453708129475501e-06,-4.5598980147332213e-10,-4.342341819452145e-09,-2.9814850588394393e-09
25.0,26.0,0.99999999,1.0000000865314282,7.187768350272543e-06,0.9999999844601597,3.1877719943866524e-06,0.99999999,1.0000000860554688,7.161484727310346e-06,0.9999999843308732,3.185025160002844e-06,0.0,4.759594940395573e-10,1.2928647041832164e-10
25.0,77.0,0.99999999,1.0000000779084335,5.932112448061015e-06,0.9999999743432084,2.284449428498948e-06,0.99999999,1.0000000786458143,5.990080082975569e-06,0.9999999740926097,2.3067647853117565e-06,0.0,-7.373808230681789e-10,2.505987639622731e-10
26.0,25.0,0.999999992586832,1.0000000241740914,3.4068433234028483e-06,1.0000000222319694,2.551506257549361e-06,0.9999999920834972,1.000000025266806,3.5890135681420203e-06,1.0000000233176645,2.6893485572794515e-06,5.033348182692521e-10,-1.092714585482213e-09,-1.0856950893867179e-09
26.0,27.0,0.9999999938277002,1.0000000290048625,4.30398662185066e-06,1.0000000266475686,3.345397252111403e-06,0.9999999937940508,1.0000000279906396,4.154160266837469e-06,1.0000000257056372,3.2281678963249175e-06,3.364941658645648e-11,1.014222927864239e-09,9.419314217495867e-10
27.0,26.0,0.99999999,1.000000057652444,5.014897207048274e-06,1.000000002293975,2.6597867515744305e-06,0.99999999,1.0000000598432204,5.204487632321876e-06,1.0000000023576854,2.7599209902255633e-06,0.0,-2.1907764491402304e-09,-6.371037031271953e-11
27.0,29.0,0.99999999,1.000000072360892,5.036076471622647e-06,0.9999999725034033,1.8460644242724857e-06,0.99999999,1.000000071130121,4.9499818527254116e-06,0.9999999729637773,1.8144088708095438e-06,0.0,1.230771040638956e-09,-4.603739611752644e-10
27.0,79.0,0.9999999945025304,1.0000000531223676,4.48626186030118e-06,1.0000000038869528,2.2696238576596564e-06,0.9999999947955868,1.0000000499630215,4.218510033624492e-06,1.000000003651675,2.133715314604239e-06,-2.930563569591982e-10,3.1593461180534632e-09,2.352777972447484e-10
29.0,27.0,0.9999999969046116,0.9999999739438391,1.384209014918849e-06,1.000000040241334,2.562735311986257e-06,0.9999999968588912,0.9999999734675427,1.4090775036992645e-06,1.0000000409576972,2.608456058078447e-06,4.572042744399596e-11,4.76296446727531e-10,-7.16363190989e-10
29.0,30.0,0.9999999999656742,0.9999999845149448,1.0485115395132696e-06,1.0000000132255498,1.2795250643525066e-06,0.9999999979121524,0.9999999879703734,8.388292108887353e-07,1.0000000107810998,1.0391026523295388e-06,2.0535217970518715e-09,-3.455428609910882e-09,2.444449975769203e-09
30.0,29.0,0.9999999956859416,1.0000000156340407,1.7901910608397087e-06,0.9999999942506508,7.446572657260273e-07,0.9999999955535728,1.0000000161636442,1.8511972584842714e-06,0.9999999940536658,7.700422122793246e-07,1.3236878260158846e-10,-5.296034721880005e-10,1.9698498388009966e-10
30.0,31.0,0.9999999958080472,1.0000000063796224,2.03610916188191e-06,1.0000000057600333,1.8262980187079827e-06,0.9999999958699636,1.0000000061706469,1.9710816629012607e-06,1.000000005552309,1.767581863010317e-06,-6.191636092722774e-11,2.0897550356835382e-10,2.0772428221960126e-10
